Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Vardhman Holdings Ltd.,VHL,Finance - NBFC,1231.2,NSE,3858.70,5.00,2,2025-06,1.65,2025-06,4.98,0.49,0.35,2,2025-03,0,7.55,7.98,"VHL,"
Meghna Infracon Infrastructure Ltd.,MIIL,Finance - Stock Broking,1219.68,BSE,560.10,-1.87,2,2025-06,9.54,2025-06,172.83,,35.5,2,2024-03,0.18,24.07,22.65,"MIIL,"
Wealth First Portfolio Managers Ltd.,WEALTH,Finance - Investment,1172.05,NSE,1064.30,-1.39,2,2025-06,36.09,2025-06,32.47,0.35,8.11,2,2025-03,0,27.67,36.65,"WEALTH,"
Max India Ltd.,MAXIND,Finance - Investment,1112.57,NSE,212.49,0.96,2,2025-06,-138.91,2025-06,0,,2.49,2,2025-03,0,-33.75,-30.58,"MAXIND,"
Crest Ventures Ltd.,CREST,Finance - NBFC,1071.85,NSE,376.05,-1.01,2,2025-06,68.69,2025-06,16.58,1.16,0.88,2,2025-03,0.14,7.84,9.9,"CREST,"
Arihant Capital Markets Ltd.,ARIHANTCAP,Finance - Stock Broking,1045.08,NSE,99.46,-0.35,2,2025-09,44.51,2025-09,22.85,0.87,2.52,2,2025-03,0.25,16.81,21.99,"ARIHANTCAP,"
Aeroflex Enterprises Ltd.,AEROENTER,Finance - Others,1020.14,NSE,90.13,6.29,2,2025-06,77.14,2025-06,20.34,0.25,1.43,2,2025-03,0.04,11.97,16.04,"AEROENTER,"
Abans Financial Services Ltd.,AFSL,Finance - NBFC,1018.05,NSE,201.21,-0.05,2,2025-06,116.99,2025-06,9.29,,0.94,2,2025-03,0.8,11.05,10.16,"AFSL,"
Prime Securities Ltd.,PRIMESECU,Finance - Stock Broking,1014.91,NSE,301.70,-0.92,2,2025-09,34.14,2025-09,30.52,0.88,4.42,2,2025-03,0,21.61,24.67,"PRIMESECU,"
Jindal Poly Investment and Finance Company Ltd.,JPOLYINVST,Finance - Investment,1008.46,NSE,958.65,0.09,2,2025-06,55.41,2025-06,3.33,0.09,0.66,2,2025-03,0.02,14.17,12.83,"JPOLYINVST,"
Industrial & Prudential Investment Company Ltd.,INDPRUD,Finance - NBFC,1007.31,BSE,6000.00,-1.18,2,2025-09,6.03,2025-09,16.41,0.84,1.2,2,2025-03,0,7.59,7.57,"INDPRUD,"
GKW Ltd.,GKWLIMITED,Finance - Investment,1003.15,NSE,1681.30,-1.05,1,2025-06,-6.91,2025-06,0,,2.72,1,2025-03,0,-4.81,-2.4,"GKWLIMITED,"
Fedders Holding Ltd.,FEDDERSHOL,Finance - Investment,969.86,BSE,48.20,-5.53,2,2025-06,34.03,2025-06,28.5,0.28,1.5,2,2025-03,0.13,7.26,7.56,"FEDDERSHOL,"
Oswal Greentech Ltd.,OSWALGREEN,Finance - Investment,948.14,NSE,36.91,-1.20,1,2025-09,12.08,2025-09,78.51,-2.11,0.38,1,2025-03,0,0.34,0.43,"OSWALGREEN,"
5Paisa Capital Ltd.,5PAISA,Finance - Stock Broking,945.24,NSE,302.25,-1.32,2,2025-09,47.28,2025-09,19.99,0.33,1.51,2,2025-03,0.37,12.17,13.57,"5PAISA,"
Aryaman Financial Services Ltd.,ARYAMAN,Finance - Investment,940.45,BSE,780.70,-0.50,2,2025-06,52.32,2025-06,24.79,0.24,6.62,2,2025-03,0.22,44.83,41.86,"ARYAMAN,"
GIC Housing Finance Ltd.,GICHSGFIN,Finance - Housing,923.82,NSE,171.69,-0.57,2,2025-06,128.85,2025-06,7.17,,0.47,2,2025-03,4.44,8.46,8.63,"GICHSGFIN,"
Sastasundar Ventures Ltd.,SASTASUNDR,Finance - NBFC,914.23,NSE,289.65,-0.07,2,2025-06,-146.61,2025-06,0,0,1.31,2,2025-03,0,-18.71,-28.4,"SASTASUNDR,"
Aditya Birla Money Ltd.,BIRLAMONEY,Finance - Stock Broking,897.93,NSE,158.78,0.99,1,2025-09,56.66,2025-09,15.85,0.36,3.35,1,2025-03,7.11,37.2,13.24,"BIRLAMONEY,"
Dhunseri Investments Ltd.,DHUNINV,Finance - Investment,839.37,NSE,1384.70,1.91,2,2025-06,4.17,2025-06,8.64,0.09,0.31,2,2025-03,0.14,5.33,7.64,"DHUNINV,"
AK Capital Services Ltd.,AKCAPIT,Finance - Investment,808.5,BSE,1225.00,0.82,2,2025-09,98.94,2025-09,8.47,0.79,0.81,2,2024-03,2.99,10.52,9.55,"AKCAPIT,"
Shriram Asset Management Company Ltd.,SRAMSET,Finance - Asset Management,802.91,BSE,472.00,6.14,1,2025-06,-16.75,2025-06,0,,4.98,1,2025-03,0,-24.44,-23.27,"SRAMSET,"
Nisus Finance Services Co Ltd.,NISUS,Finance - Asset Management,798.36,BSE,334.35,-1.01,2,2025-03,32.25,2025-03,24.78,,4.5,2,2025-03,0.06,33.63,40.35,"NISUS,"
STEL Holdings Ltd.,STEL,Finance - Investment,781.13,NSE,421.65,2.79,2,2025-09,17.06,2025-09,45.79,50.32,0.42,2,2025-03,0,0.97,1.3,"STEL,"
Emkay Global Financial Services Ltd.,EMKAY,Finance - Stock Broking,778.92,NSE,298.55,-2.10,2,2025-09,22.26,2025-09,34.94,0.77,2.58,2,2025-03,0.16,21.51,21.74,"EMKAY,"
Laxmi India Finance Ltd.,LAXMIINDIA,Finance - NBFC,749.26,NSE,143.15,-0.29,1,,,2025-03,20.81,,1.44,1,2025-03,4.42,15.68,13.71,"LAXMIINDIA,"
VLS Finance Ltd.,VLSFINANCE,Finance - Investment,724.25,NSE,212.76,-0.65,2,2025-06,24.11,2025-06,30.04,9.05,0.28,2,2025-03,0,1.69,2.15,"VLSFINANCE,"
Niyogin Fintech Ltd.,NIYOGIN,Finance - Investment,723.89,BSE,65.79,3.22,2,2025-06,-8.34,2025-06,0,0,2.41,2,2025-03,0.32,-5.99,-2.09,"NIYOGIN,"
N.B.I. Industrial Finance Co. Ltd.,NBIFIN,Finance - NBFC,721.96,NSE,2443.30,2.03,2,2025-03,8.48,2025-03,85.1,,0.22,2,2025-03,0,0.51,0.65,"NBIFIN,"
Manba Finance Ltd.,MANBA,Finance - NBFC,705.36,NSE,140.34,0.95,1,2025-06,42.37,2025-06,16.65,,1.86,1,2025-03,2.91,13.28,13.18,"MANBA,"
GFL Ltd.,GFLLIMITED,Finance - Investment,665.69,NSE,61.91,1.23,2,2025-06,-27.07,2025-06,0,0,0.26,2,2025-03,0,-2.96,-1.89,"GFLLIMITED,"
The Investment Trust of India Ltd.,THEINVEST,Finance - NBFC,663.48,NSE,127.21,-1.94,2,2025-09,19.65,2025-09,30.39,0.55,0.92,2,2025-03,0.52,6.74,9.92,"THEINVEST,"
Aryaman Capital Markets Ltd.,ARYACAPM,Finance - Stock Broking,652.09,BSE,550.00,-0.54,1,2025-03,22.93,2025-03,28.44,0.14,12.5,1,2024-03,1.12,18.51,14.32,"ARYACAPM,"
SIL Investments Ltd.,SILINV,Finance - NBFC,645.29,NSE,601.20,0.02,2,2025-06,35.88,2025-06,18.25,-7.13,0.2,2,2025-03,0,1.17,1.57,"SILINV,"
CSL Finance Ltd.,CSLFINANCE,Finance - NBFC,593.94,NSE,261.10,0.17,1,2025-06,74.92,2025-06,7.93,0.3,1.06,1,2025-03,1.29,14.21,14.62,"CSLFINANCE,"
Consolidated Finvest & Holdings Ltd.,CONSOFINVT,Finance - NBFC,578.87,NSE,179.07,1.61,1,2025-06,97.98,2025-06,5.91,0.07,0.56,1,2025-03,0,11.8,7.72,"CONSOFINVT,"
Kiran Vyapar Ltd.,KIRANVYPAR,Finance - NBFC,576.11,BSE,215.80,-0.09,2,2025-06,24.42,2025-06,12.68,0.23,0.27,2,2025-03,0.14,2.9,4.16,"KIRANVYPAR,"
Radiant Cash Management Services Ltd.,RADIANTCMS,Finance - Investment,562.46,NSE,52.52,1.31,2,2025-09,36.66,2025-09,14.42,,2.15,2,2025-03,0.41,17.89,26.76,"RADIANTCMS,"
India Finsec Ltd.,IFINSEC,Finance - NBFC,537.13,BSE,184.00,-0.51,2,2025-09,20.08,2025-09,42.19,0.9,4.42,2,2025-03,1.65,19.9,17.87,"IFINSEC,"
Arunis Abode Ltd.,ARUNIS,Finance - Investment,516.78,BSE,101.33,4.44,2,2025-06,5.26,2025-06,98.23,,7.17,2,2024-03,0.14,7.26,10.92,"ARUNIS,"
MKVentures Capital Ltd.,MKVENTURES,Finance - NBFC,513.35,BSE,1335.65,-0.17,2,2025-06,8.62,2025-06,59.58,,4.79,2,2025-03,0,9.65,16.68,"MKVENTURES,"
Moneyboxx Finance Ltd.,MONEYBOXX,Finance - NBFC,500.22,NSE,154.54,-0.46,1,2025-09,-4.56,2025-09,0,0,1.91,1,2025-03,2.77,0.63,8.79,"MONEYBOXX,"
Avonmore Capital & Management Services Ltd.,AVONMORE,Finance - Investment,497.49,NSE,17.71,1.49,2,2025-06,25.05,2025-06,18.43,1.39,1.34,2,2025-03,0.04,11.27,13.79,"AVONMORE,"
UVS Hospitality and Services Ltd.,UVS,Finance - Investment,483.68,BSE,134.45,-3.90,1,2025-06,-5.12,2025-06,0,,9.02,1,2024-03,0,5.38,3.31,"UVS,"
Nahar Capital And Financial Services Ltd.,NAHARCAP,Finance - NBFC,477.01,NSE,279.20,-0.16,2,2025-06,16.83,2025-06,9.62,0.14,0.31,2,2025-03,0,3.21,3.78,"NAHARCAP,"
Muthoot Capital Services Ltd.,MUTHOOTCAP,Finance - NBFC,460.94,NSE,279.80,1.51,1,2025-09,17.14,2025-09,26.9,-4.95,0.7,1,2025-03,4.33,7.21,9.82,"MUTHOOTCAP,"
Unifinz Capital India Ltd.,UCIL,Finance - NBFC,441.8,BSE,499.00,9.38,1,2025-06,35.21,2025-06,12.55,0.03,4.68,1,2025-03,0.42,49.37,47.08,"UCIL,"
SRG Housing Finance Ltd.,SRGHFL,Finance - Housing,426.97,NSE,286.00,-1.67,1,2025-06,25.32,2025-06,16.86,2.68,1.58,1,2025-03,2.22,11.59,12.29,"SRGHFL,"
Industrial Investment Trust Ltd.,IITL,Finance - NBFC,417.58,NSE,184.63,0.03,2,2025-06,7.63,2025-06,60.14,3.76,0.92,2,2025-03,0.01,0.98,1.25,"IITL,"
Worth Investment & Trading Co Ltd.,WORTH,Finance - NBFC,408.53,BSE,11.02,-9.97,1,2025-06,1.9,2025-06,214.56,1.91,10.27,1,2025-03,0.55,6.17,7.09,"WORTH,"
Shardul Securities Ltd.,SHARDUL,Finance - Investment,407.19,BSE,46.50,0.61,2,2025-06,-10.51,2025-06,0,0,0.53,2,2025-03,0.03,4.8,6.53,"SHARDUL,"
Welspun Investments and Commercials Ltd.,WELINV,Finance - Investment,399.69,NSE,1169.80,4.31,1,2025-09,3.35,2025-09,119.17,-9.33,0.55,1,2025-03,0,0.62,0.83,"WELINV,"
Mangal Credit and Fincorp Ltd.,MANCREDIT,Finance - NBFC,383.32,NSE,182.90,2.27,1,2025-06,12.32,2025-06,31.11,7.19,2.45,1,2025-03,1.46,10.07,12.13,"MANCREDIT,"
Naga Dhunseri Group Ltd.,NDGL,Finance - Investment,372.3,NSE,3723.00,0.91,2,2025-06,17.55,2025-06,8.36,0.16,0.29,2,2025-03,0.2,0.71,1.45,"NDGL,"
Bombay Oxygen Investments Ltd.,BOMOXY-B1,Finance - Investment,357.72,BSE,23728.00,-1.41,1,2025-09,-8.77,2025-09,0,0,0.7,1,2025-03,0,3.7,4.03,"BOMOXY-B1,"
Nidhi Granites Ltd.,NIDHGRN,Finance - Others,352.44,BSE,440.55,-1.99,2,2025-06,3.41,2025-06,103.51,,20.59,2,2025-03,0.2,13.78,17.04,"NIDHGRN,"
Quest Capital Markets Ltd.,QUESTCAP,Finance - NBFC,338.1,BSE,338.15,2.45,1,2025-06,19.99,2025-06,16.91,0.97,0.26,1,2025-03,0,1.7,2.2,"QUESTCAP,"
Shalibhadra Finance Ltd.,SAHLIBHFI,Finance - NBFC,334.21,BSE,108.20,0.51,1,2025-06,17.17,2025-06,19.46,0.87,1.84,1,2024-03,0.6,13.87,15.8,"SAHLIBHFI,"
Pune E - Stock Broking Ltd.,PESB,Finance - Stock Broking,331.72,BSE,211.95,2.86,1,2025-03,15.06,2025-03,22.03,,2.58,2,2025-03,0.32,14.07,17.16,"PESB,"
Akme Fintrade (India) Ltd.,AFIL,Finance - NBFC,329.02,NSE,7.55,2.58,1,2025-06,34.24,2025-06,9.61,,0.86,1,2025-03,0.75,11.14,14.4,"AFIL,"
Delphi World Money Ltd.,DELPHIFX,Finance - Others,323.92,NSE,197.41,-0.92,1,2025-06,1.73,2025-06,187.67,-10.36,0.99,1,2025-03,0.12,0.88,2.08,"DELPHIFX,"
Alankit Ltd.,ALANKIT,Finance - Stock Broking,320.24,NSE,11.73,2.18,2,2025-06,20.1,2025-06,18.19,1.59,1.06,2,2025-03,0.04,7.56,11.09,"ALANKIT,"
Almondz Global Securities Ltd.,ALMONDZ,Finance - Stock Broking,318.64,NSE,18.29,3.10,2,2025-06,8.74,2025-06,17.58,0.55,1.32,2,2025-03,0.2,7.63,9,"ALMONDZ,"
Capital Trade Links Ltd.,CTL,Finance - NBFC,318.04,BSE,24.60,-3.23,1,2025-09,8.32,2025-09,38.2,2.01,4.26,1,2025-03,1.86,3.98,7.42,"CTL,"
Mercantile Ventures Ltd.,MERCANTILE,Finance - NBFC,316.62,BSE,28.29,-2.41,2,2025-09,7.86,2025-09,27.59,-3.6,0.98,2,2025-03,0,4.93,4.03,"MERCANTILE,"
Emerald Finance Ltd.,EMERALD,Finance - NBFC,309.03,BSE,89.47,4.34,2,2025-09,11.93,2025-09,25.91,0.55,3.41,2,2024-03,0.31,9.19,12.82,"EMERALD,"
UY Fincorp Ltd.,UYFINCORP,Finance - NBFC,306.28,NSE,16.08,2.75,1,2025-09,17.24,2025-09,17.77,0.53,0.89,1,2025-03,0.02,3.62,5.46,"UYFINCORP,"
Pro Fin Capital Services Ltd.,PROFINC,Finance - NBFC,298.37,BSE,10.07,-5.00,1,2025-09,15.05,2025-09,19.83,-7.99,3.45,1,2024-03,10.94,-1.27,3.75,"PROFINC,"
Starteck Finance Ltd.,STARTECK,Finance - NBFC,298.15,NSE,302.00,0.67,2,2025-06,12.18,2025-06,24.49,0.93,1.25,2,2025-03,0.97,4.73,7.03,"STARTECK,"
Leading Leasing Finance And Investment Co Ltd.,LLFICL,Finance - NBFC,297.33,BSE,5.47,3.80,1,2025-06,9.44,2025-06,31.48,5.32,1.65,1,2024-03,7.76,16.33,4.82,"LLFICL,"
RR Financial Consultants Ltd.,RRFIN,Finance - Investment,291.67,BSE,263.70,5.00,2,2025-06,5.47,2025-06,61.42,0.77,5.41,2,2024-03,0.22,0.94,2.7,"RRFIN,"
Sakthi Finance Ltd.,SAKTHIFIN,Finance - NBFC,283.22,BSE,43.80,-0.25,1,2025-06,16.88,2025-06,16.78,2.02,1.21,1,2025-03,4.83,7.44,10.48,"SAKTHIFIN,"
Regency Fincorp Ltd.,REGENCY,Finance - Investment,277.51,BSE,38.49,0.68,1,2025-09,10.1,2025-09,27.48,0.41,2.09,1,2025-03,1,6.47,7.91,"REGENCY,"
Alacrity Securities Ltd.,ALSL,Finance - Stock Broking,266.8,BSE,56.45,0.80,1,2025-06,11.38,2025-06,23.46,0.77,2.54,1,2025-03,0.05,17.51,21.54,"ALSL,"
Sera Investments & Finance India Ltd.,SERA,Finance - Others,262.36,BSE,39.80,4.52,1,2025-06,-0.82,2025-06,0,0,0.89,1,2024-03,0.29,38.51,28.17,"SERA,"
Rikhav Securities Ltd.,RIKHAV,Finance - Stock Broking,260.35,BSE,67.99,-0.54,1,2025-03,23.93,2025-03,10.88,,1.15,2,2025-03,0,12.97,17.17,"RIKHAV,"
Alfred Herbert (India) Ltd.,ALFREDHE,Finance - NBFC,250.04,BSE,3200.00,0.63,2,2025-06,431.44,2025-06,0.58,0.01,0.46,2,2025-03,0,5.24,5.89,"ALFREDHE,"
Purple Finance Ltd.,PURPLEFIN,Finance - NBFC,249.54,BSE,45.80,2.78,1,2025-09,-15.83,2025-09,0,,2.3,1,2025-03,0.95,-25.19,-13.47,"PURPLEFIN,"
Team India Guaranty Ltd.,TEAMGTY,Finance - Investment,247.31,NSE,263.15,-5.00,1,2025-06,2.35,2025-06,105.33,8.77,5.12,1,2025-03,0,5.04,6.04,"TEAMGTY,"
Innovassynth Investments Ltd.,INOVSYNTH,Finance - NBFC,244.95,BSE,87.82,-2.42,2,2025-06,-1.2,2025-06,0,,5.83,2,2025-03,0.1,-11.97,-9.93,"INOVSYNTH,"
Mangalam Industrial Finance Ltd.,MANGIND,Finance - NBFC,243.78,BSE,1.69,-1.17,1,2025-06,1.29,2025-06,189.27,3.03,3.13,1,2025-03,0,4.25,6.98,"MANGIND,"
Gourmet Gateway India Ltd.,GOURMET,Finance - Investment,243,BSE,16.29,4.96,2,2025-06,-2,2025-06,0,,3.91,2,2025-03,0.17,-4.45,8.22,"GOURMET,"
Sellwin Traders Ltd.,SELLWIN,Finance - Investment,240.26,BSE,10.23,-4.30,2,2025-06,5.24,2025-06,45.88,,3.43,2,2024-03,0.01,5.52,5.67,"SELLWIN,"
Comfort Intech Ltd.,COMFINTE,Finance - NBFC,239.95,BSE,7.51,-0.53,2,2025-06,7,2025-06,29.38,0.61,1.32,2,2024-03,0.17,4.67,6.77,"COMFINTE,"
IL&FS Investment Managers Ltd.,IVC,Finance - Investment,236.78,NSE,7.50,-1.19,1,2025-06,0.94,2025-06,252.97,10.48,2.62,2,2025-03,0,6.99,7.18,"IVC,"
Gamco Ltd.,GAMCO,Finance - NBFC,231.15,BSE,42.79,4.16,2,2025-09,-16.31,2025-09,0,0,2.2,2,2025-03,1.52,6.74,7,"GAMCO,"
Arunjyoti Bio Ventures Ltd.,ABVL,Finance - Investment,230.93,BSE,12.39,0.81,1,2025-09,-1.97,2025-09,0,,6.82,1,2025-03,0.79,-10.67,4.07,"ABVL,"
Star Housing Finance Ltd.,STARHFL,Finance - Housing,227.28,BSE,16.19,-0.18,1,2025-06,9.47,2025-06,24.01,1.4,0.99,1,2025-03,3.13,9.09,12.13,"STARHFL,"
Iconik Sports And Events Ltd.,ICONIKSPEV,Finance - Investment,225.05,BSE,66.50,-0.75,1,2025-06,1.09,2025-06,206.28,1.07,3.53,1,2025-03,0.12,15.04,16.6,"ICONIKSPEV,"
Garnet International Ltd.,GARNETINT,Finance - Investment,213.83,BSE,109.70,8.08,2,2025-06,1.56,2025-06,104.71,6.37,7.05,2,2025-03,0.1,5.46,4.27,"GARNETINT,"
Paul Merchants Ltd.,PML,Finance - Investment,202.22,BSE,658.00,0.44,2,2025-06,27.54,2025-06,0.6,0.03,0.32,2,2025-03,0.04,-2.06,-1.06,"PML,"
Yash Trading & Finance Ltd.,YASTF,Finance - Investment,201.65,BSE,201.65,0.00,1,2025-06,-0.32,2025-06,0,,20.44,1,2024-03,-1.1,0,-27.99,"YASTF,"
Swastika Investmart Ltd.,SWASTIKA,Finance - Stock Broking,190.86,BSE,95.00,-0.63,2,2025-09,13.04,2025-09,14.74,0.15,1.46,2,2025-03,0.05,22.2,32.59,"SWASTIKA,"
Keynote Financial Services Ltd.,KEYFINSERV,Finance - Investment,190.24,NSE,341.55,-4.50,2,2025-06,11.92,2025-06,9.9,0.25,1.3,2,2025-03,0.01,8.18,9.27,"KEYFINSERV,"
Usha Financial Services Ltd.,USHAFIN,Finance - NBFC,187.6,NSE,43.15,0.35,1,2025-03,13.8,2025-03,13.59,,0.81,1,2025-03,0.87,8.7,12.38,"USHAFIN,"
Escorp Asset Management Ltd.,ESCORP,Finance - Asset Management,185.65,BSE,167.00,-4.98,1,2025-03,16.28,2025-03,11.4,0.02,2.75,1,2025-03,0,28.08,32.97,"ESCORP,"
Jhaveri Credits & Capital Ltd.,JHACC,Finance - Stock Broking,185.54,BSE,201.95,0.95,1,2025-06,2.65,2025-06,70.04,1.11,2.12,1,2025-03,0,2.9,3.19,"JHACC,"
Som Datt Finance Corporation Ltd.,SODFC,Finance - Investment,183.66,BSE,108.65,3.97,1,2025-06,-5.23,2025-06,0,,2.24,1,2025-03,0,-16.63,-17.84,"SODFC,"
KIFS Financial Services Ltd.,KIFS,Finance - NBFC,179.63,BSE,166.05,-6.56,1,2025-06,8.24,2025-06,21.81,1.42,3.06,1,2025-03,5.82,15.01,9.37,"KIFS,"
Indbank Merchant Banking Services Ltd.,INDBANK,Finance - Stock Broking,171.17,NSE,38.43,-1.56,1,2025-09,6.31,2025-09,27.14,0.84,1.79,1,2025-03,0,9.67,13.44,"INDBANK,"
Upsurge Investment & Finance Ltd.,UPSURGE,Finance - NBFC,170,BSE,84.05,-4.02,1,2025-06,19.14,2025-06,8.88,0.21,1.52,1,2025-03,0,21.03,26.13,"UPSURGE,"
IBL Finance Ltd.,IBLFL,Finance - NBFC,168.29,NSE,68.05,,1,2025-03,2.36,2025-03,71.45,,2.87,1,2025-03,0.75,4.1,7.54,"IBLFL,"
Coral India Finance & Housing Ltd.,CORALFINAC,Finance - NBFC,163.18,NSE,40.29,-2.70,1,2025-06,15.15,2025-06,10.77,0.64,0.72,1,2025-03,0,8.65,10.48,"CORALFINAC,"
Available Finance Ltd.,AVAILFC,Finance - NBFC,159.43,BSE,154.70,-0.51,2,2025-06,0.2,2025-06,1.5,0.09,0.13,2,2025-03,0,0.02,0.03,"AVAILFC,"
Apollo Finvest (India) Ltd.,APOLLOFI,Finance - Investment,158.81,BSE,425.00,-5.27,1,2025-09,6.51,2025-09,24.41,14.53,2.28,1,2025-03,0.41,11.33,15.45,"APOLLOFI,"
Munoth Capital Markets Ltd.,MUNCAPM,Finance - Stock Broking,154.91,BSE,169.00,,1,2025-06,-0.01,2025-06,0,0,26.87,1,2024-03,0.01,-4.2,-4.02,"MUNCAPM,"
Standard Capital Markets Ltd.,STANCAP,Finance - NBFC,154.64,BSE,0.63,5.00,2,2025-06,40.85,2025-06,3.79,,0.42,2,2024-03,1.54,6.65,6.48,"STANCAP,"
Milgrey Finance & Investments Ltd.,ZMILGFIN,Finance - Investment,152.99,BSE,71.02,-4.99,1,2024-12,0.84,2024-12,183.22,11.59,4.36,1,2024-03,0.87,0.11,0.17,"ZMILGFIN,"
Inventure Growth & Securities Ltd.,INVENTURE,Finance - Stock Broking,152.25,NSE,1.44,0.00,2,2025-09,3.86,2025-09,39.44,0.36,0.55,2,2025-03,0.12,0.84,3.79,"INVENTURE,"
Sangam Finserv Ltd.,SANGAMFIN,Finance - NBFC,150.93,BSE,34.60,5.17,1,2025-06,8.67,2025-06,17.42,-2.83,1.1,1,2024-03,0.21,6.42,9.22,"SANGAMFIN,"
Ganges Securities Ltd.,GANGESSECU,Finance - Investment,150.06,NSE,150.71,0.23,2,2025-06,5.57,2025-06,26.94,-7.67,0.22,2,2025-03,0,0.83,0.93,"GANGESSECU,"
Reliance Home Finance Ltd.,RHFL,Finance - Housing,149.88,NSE,3.07,-3.76,1,2025-03,24.17,2025-03,6.2,0.42,-2.57,1,2023-03,-1.1,0,250.03,"RHFL,"
LKP Securities Ltd.,LKPSEC,Finance - Stock Broking,148.91,BSE,18.08,-1.42,2,2025-09,11.67,2025-09,12.76,0.25,1.52,2,2025-03,0.47,15.36,23.18,"LKPSEC,"
Steel City Securities Ltd.,STEELCITY,Finance - Stock Broking,148.25,NSE,98.13,-0.25,2,2025-09,14.56,2025-09,9.89,0.51,1.11,2,2025-03,0.03,13.2,18.2,"STEELCITY,"
Tamboli Industries Ltd.,TAMBOLIIN,Finance - Investment,146.96,BSE,151.00,1.10,2,2025-06,7.59,2025-06,19.35,1.41,1.28,2,2025-03,0.06,6.9,9.72,"TAMBOLIIN,"
Sunshine Capital Ltd.,SCL,Finance - NBFC,146.42,BSE,0.28,3.70,2,2025-06,26.76,2025-06,5.47,,0.19,2,2025-03,0,-0.18,-0.09,"SCL,"
Tilak Ventures Ltd.,TILAK,Finance - Investment,137.72,BSE,3.10,0.98,1,2025-09,8.06,2025-09,17.1,,0.96,2,2024-03,0.03,6.82,9.09,"TILAK,"
Jagsonpal Services Ltd.,JAGSONFI,Finance - NBFC,137.43,BSE,75.49,2.03,1,2025-09,-2.94,2025-09,0,0,9.76,1,2025-03,0,-8.33,-8.33,"JAGSONFI,"
Sonal Mercantile Ltd.,SONAL,Finance - NBFC,136.33,BSE,92.50,-0.93,2,2025-06,10.01,2025-06,4.13,0.11,0.38,2,2025-03,0.72,3.1,5.69,"SONAL,"
Credent Global Finance Ltd.,CGFL,Finance - NBFC,136.01,BSE,26.37,-2.33,2,2025-06,3.04,2025-06,42.89,,1.81,2,2025-03,0.26,-9.14,-4.07,"CGFL,"
Ascom Leasing & Investments Ltd.,ASCOM,Finance - NBFC,135.88,NSE,116.00,0.00,1,2025-03,5.11,2025-03,26.58,12.54,3.04,1,2024-03,0.05,11.78,15.73,"ASCOM,"
PMC Fincorp Ltd.,PMCFIN,Finance - Investment,135.3,BSE,1.91,-0.52,1,2025-06,14.11,2025-06,9.59,0.16,0.84,1,2025-03,0.29,10.96,11.32,"PMCFIN,"
Softrak Venture Investment Ltd.,SOFTRAKV,Finance - Investment,133.88,BSE,2.97,3.48,1,2025-03,0.36,2025-03,371.89,6.42,2.95,1,2024-03,0,4.9,6.5,"SOFTRAKV,"
Beacon Trusteeship Ltd.,BEACON,Finance - Investment,129.98,NSE,71.95,-1.71,1,2025-03,5.75,2025-03,22.61,,2.88,2,2025-03,0,16.91,23.52,"BEACON,"
RSD Finance Ltd.,RSDFIN,Finance - NBFC,129.21,BSE,100.30,-2.57,2,2025-06,18.7,2025-06,9.11,0.75,0.61,2,2024-03,0.13,9.12,11.29,"RSDFIN,"
Maha Rashtra Apex Corporation Ltd.,MAHAPEXLTD,Finance - Investment,129.08,NSE,92.48,-1.82,2,2025-06,13.53,2025-06,4.1,-1.42,0.28,2,2025-03,0,4.31,5.22,"MAHAPEXLTD,"
Baid Finserv Ltd.,BAIDFIN,Finance - NBFC,122.35,NSE,10.13,-1.55,1,2025-06,14.34,2025-06,8.53,0.71,0.67,1,2025-03,1.43,7.78,11.26,"BAIDFIN,"
Stellant Securities (India) Ltd.,STELLANT,Finance - NBFC,120.09,BSE,324.35,4.98,1,2025-09,31.22,2025-09,3.85,0.1,3.64,1,2025-03,0,92.4,106.8,"STELLANT,"
Dharni Capital Services Ltd.,DHARNI,Finance - Asset Management,118.15,BSE,58.00,,1,2025-03,3.22,2025-03,36.74,,5.81,2,2025-03,0.1,19.66,24.98,"DHARNI,"
Palash Securities Ltd.,PALASHSECU,Finance - Investment,117.89,NSE,115.43,-0.69,2,2025-06,-17.39,2025-06,0,,0.21,2,2025-03,0.04,-3.46,-2.7,"PALASHSECU,"
Optimus Finance Ltd.,OPTIFIN,Finance - NBFC,117.84,BSE,15.77,-1.19,2,2025-06,9.74,2025-06,20.35,0.69,1.97,2,2025-03,0.4,19.96,21.16,"OPTIFIN,"
TruCap Finance Ltd.,TRU,Finance Term Lending,117.08,NSE,9.83,-3.91,2,2025-06,-74.86,2025-06,0,,0.84,2,2025-03,3.52,-34.29,3.48,"TRU,"
Assam Entrade Ltd.,ASSAMENT,Finance - Investment,116.61,BSE,809.90,4.96,2,2025-06,3.25,2025-06,35.92,2.47,1.77,2,2025-03,0,4.75,6.69,"ASSAMENT,"
